bowler,bowling_team,venue,runs_conceded,balls_bowled,wickets,economy_rate
A Ashish Reddy,Sunrisers Hyderabad,Barabati Stadium,32,19,1,10.11
A Ashish Reddy,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,21,19,1,6.63
A Ashish Reddy,Sunrisers Hyderabad,Eden Gardens,15,12,1,7.5
A Ashish Reddy,Sunrisers Hyderabad,M Chinnaswamy Stadium,86,48,2,10.75
A Ashish Reddy,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",31,18,1,10.33
A Ashish Reddy,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",172,116,10,8.9
A Ashish Reddy,Sunrisers Hyderabad,Subrata Roy Sahara Stadium,32,24,2,8.0
A Ashish Reddy,Sunrisers Hyderabad,Wankhede Stadium,11,14,1,4.71
A Badoni,Lucknow Super Giants,"Brabourne Stadium, Mumbai",6,6,1,6.0
A Badoni,Lucknow Super Giants,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0,1,0,0.0
A Badoni,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",19,6,0,19.0
A Badoni,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",6,6,0,6.0
A Badoni,Lucknow Super Giants,"Wankhede Stadium, Mumbai",6,6,1,6.0
A Chandila,Rajasthan Royals,M Chinnaswamy Stadium,21,24,0,5.25
A Chandila,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",16,18,1,5.33
A Chandila,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",24,24,1,6.0
A Chandila,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",21,24,1,5.25
A Chandila,Rajasthan Royals,Sawai Mansingh Stadium,163,144,8,6.79
A Choudhary,Royal Challengers Bangalore,M Chinnaswamy Stadium,57,55,3,6.22
A Choudhary,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",55,28,1,11.79
A Choudhary,Royal Challengers Bangalore,Wankhede Stadium,32,25,1,7.68
A Dananjaya,Mumbai Indians,Wankhede Stadium,47,25,0,11.28
A Flintoff,Chennai Super Kings,Kingsmead,50,24,0,12.5
A Flintoff,Chennai Super Kings,Newlands,45,24,1,11.25
A Flintoff,Chennai Super Kings,St George's Park,11,18,1,3.67
A Kamboj,Mumbai Indians,"Eden Gardens, Kolkata",24,19,1,7.58
A Kamboj,Mumbai Indians,"Wankhede Stadium, Mumbai",91,49,1,11.14
A Kumble,Royal Challengers Bangalore,Brabourne Stadium,20,24,1,5.0
A Kumble,Royal Challengers Bangalore,Dr DY Patil Sports Academy,48,47,5,6.13
A Kumble,Royal Challengers Bangalore,Eden Gardens,41,42,1,5.86
A Kumble,Royal Challengers Bangalore,Feroz Shah Kotla,33,24,1,8.25
A Kumble,Royal Challengers Bangalore,Kingsmead,73,96,7,4.56
A Kumble,Royal Challengers Bangalore,M Chinnaswamy Stadium,363,291,11,7.48
A Kumble,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",33,48,4,4.12
A Kumble,Royal Challengers Bangalore,New Wanderers Stadium,91,86,6,6.35
A Kumble,Royal Challengers Bangalore,Newlands,45,43,5,6.28
A Kumble,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",73,50,1,8.76
A Kumble,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",35,25,1,8.4
A Kumble,Royal Challengers Bangalore,Sawai Mansingh Stadium,63,49,1,7.71
A Kumble,Royal Challengers Bangalore,St George's Park,80,73,0,6.58
A Kumble,Royal Challengers Bangalore,SuperSport Park,64,60,4,6.4
A Kumble,Royal Challengers Bangalore,"Vidarbha Cricket Association Stadium, Jamtha",27,25,1,6.48
A Mishra,Delhi Capitals,Arun Jaitley Stadium,347,294,19,7.08
A Mishra,Delhi Capitals,Barabati Stadium,13,19,1,4.11
A Mishra,Delhi Capitals,Brabourne Stadium,72,43,0,10.05
A Mishra,Delhi Capitals,Buffalo Park,20,26,0,4.62
A Mishra,Delhi Capitals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,103,96,3,6.44
A Mishra,Delhi Capitals,Dubai International Cricket Stadium,23,24,0,5.75
A Mishra,Delhi Capitals,Eden Gardens,122,99,2,7.39
A Mishra,Delhi Capitals,Feroz Shah Kotla,678,566,36,7.19
A Mishra,Delhi Capitals,Green Park,27,12,1,13.5
A Mishra,Delhi Capitals,Kingsmead,57,42,0,8.14
A Mishra,Delhi Capitals,M Chinnaswamy Stadium,57,42,2,8.14
A Mishra,Delhi Capitals,M.Chinnaswamy Stadium,32,12,0,16.0
A Mishra,Delhi Capitals,MA Chidambaram Stadium,16,18,0,5.33
A Mishra,Delhi Capitals,"MA Chidambaram Stadium, Chepauk",34,49,3,4.16
A Mishra,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",55,48,5,6.88
A Mishra,Delhi Capitals,Maharashtra Cricket Association Stadium,75,67,5,6.72
A Mishra,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",27,18,1,9.0
A Mishra,Delhi Capitals,New Wanderers Stadium,40,43,3,5.58
A Mishra,Delhi Capitals,OUTsurance Oval,33,26,3,7.62
A Mishra,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,46,24,0,11.5
A Mishra,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali",46,31,0,8.9
A Mishra,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",23,24,1,5.75
A Mishra,Delhi Capitals,Rajiv Gandhi International Stadium,32,43,2,4.47
A Mishra,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",52,36,2,8.67
A Mishra,Delhi Capitals,"Sardar Patel Stadium, Motera",34,24,2,8.5
A Mishra,Delhi Capitals,Saurashtra Cricket Association Stadium,19,18,1,6.33
A Mishra,Delhi Capitals,Sawai Mansingh Stadium,55,38,2,8.68
A Mishra,Delhi Capitals,Shaheed Veer Narayan Singh International Stadium,89,60,1,8.9
A Mishra,Delhi Capitals,Sharjah Cricket Stadium,14,13,1,6.46
A Mishra,Delhi Capitals,Sheikh Zayed Stadium,35,24,2,8.75
A Mishra,Delhi Capitals,St George's Park,19,26,1,4.38
A Mishra,Delhi Capitals,SuperSport Park,131,99,7,7.94
A Mishra,Delhi Capitals,Wankhede Stadium,82,76,5,6.47
A Mishra,Delhi Capitals,"Wankhede Stadium, Mumbai",27,18,0,9.0
A Mishra,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",74,66,6,6.73
A Mishra,Lucknow Super Giants,"M Chinnaswamy Stadium, Bengaluru",18,12,1,9.0
A Mishra,Lucknow Super Giants,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",23,12,0,11.5
A Mishra,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",40,25,1,9.6
A Mishra,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",16,12,0,8.0
A Mishra,Sunrisers Hyderabad,Barabati Stadium,47,43,1,6.56
A Mishra,Sunrisers Hyderabad,Dr DY Patil Sports Academy,26,25,2,6.24
A Mishra,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,31,24,1,7.75
A Mishra,Sunrisers Hyderabad,Dubai International Cricket Stadium,92,50,0,11.04
A Mishra,Sunrisers Hyderabad,Eden Gardens,48,42,2,6.86
A Mishra,Sunrisers Hyderabad,Feroz Shah Kotla,110,103,5,6.41
A Mishra,Sunrisers Hyderabad,Himachal Pradesh Cricket Association Stadium,10,24,4,2.5
A Mishra,Sunrisers Hyderabad,M Chinnaswamy Stadium,70,50,2,8.4
A Mishra,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",78,54,4,8.67
A Mishra,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,19,24,4,4.75
A Mishra,Sunrisers Hyderabad,Nehru Stadium,14,24,1,3.5
A Mishra,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",51,30,1,10.2
A Mishra,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",602,507,29,7.12
A Mishra,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera",13,25,0,3.12
A Mishra,Sunrisers Hyderabad,Sawai Mansingh Stadium,52,37,3,8.43
A Mishra,Sunrisers Hyderabad,Sharjah Cricket Stadium,83,46,2,10.83
A Mishra,Sunrisers Hyderabad,Sheikh Zayed Stadium,27,24,2,6.75
A Mishra,Sunrisers Hyderabad,Subrata Roy Sahara Stadium,27,19,0,8.53
A Mishra,Sunrisers Hyderabad,Wankhede Stadium,87,68,1,7.68
A Mithun,Royal Challengers Bangalore,Feroz Shah Kotla,76,49,3,9.31
A Mithun,Royal Challengers Bangalore,Himachal Pradesh Cricket Association Stadium,31,20,0,9.3
A Mithun,Royal Challengers Bangalore,JSCA International Stadium Complex,37,25,1,8.88
A Mithun,Royal Challengers Bangalore,M Chinnaswamy Stadium,192,140,3,8.23
A Mithun,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",48,24,0,12.0
A Mithun,Royal Challengers Bangalore,Nehru Stadium,19,7,0,16.29
A Mithun,Royal Challengers Bangalore,St George's Park,42,27,0,9.33
A Mithun,Royal Challengers Bangalore,Wankhede Stadium,32,20,1,9.6
A Nehra,Chennai Super Kings,Brabourne Stadium,34,24,2,8.5
A Nehra,Chennai Super Kings,Eden Gardens,78,51,1,9.18
A Nehra,Chennai Super Kings,JSCA International Stadium Complex,28,25,3,6.72
A Nehra,Chennai Super Kings,M Chinnaswamy Stadium,45,49,7,5.51
A Nehra,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",204,166,11,7.37
A Nehra,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",17,18,1,5.67
A Nehra,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",32,24,1,8.0
A Nehra,Chennai Super Kings,"Sardar Patel Stadium, Motera",32,25,0,7.68
A Nehra,Chennai Super Kings,Sheikh Zayed Stadium,24,18,1,8.0
A Nehra,Chennai Super Kings,Wankhede Stadium,102,78,6,7.85
A Nehra,Delhi Capitals,Brabourne Stadium,34,25,1,8.16
A Nehra,Delhi Capitals,Buffalo Park,27,28,2,5.79
A Nehra,Delhi Capitals,Eden Gardens,20,18,1,6.67
A Nehra,Delhi Capitals,Feroz Shah Kotla,105,79,5,7.97
A Nehra,Delhi Capitals,Himachal Pradesh Cricket Association Stadium,38,24,2,9.5
A Nehra,Delhi Capitals,Kingsmead,107,76,4,8.45
A Nehra,Delhi Capitals,M Chinnaswamy Stadium,31,25,1,7.44
A Nehra,Delhi Capitals,"MA Chidambaram Stadium, Chepauk",64,48,4,8.0
A Nehra,Delhi Capitals,New Wanderers Stadium,78,77,6,6.08
A Nehra,Delhi Capitals,OUTsurance Oval,14,43,2,1.95
A Nehra,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",14,13,1,6.46
A Nehra,Delhi Capitals,Shaheed Veer Narayan Singh International Stadium,66,50,1,7.92
A Nehra,Delhi Capitals,St George's Park,34,26,3,7.85
A Nehra,Delhi Capitals,SuperSport Park,94,76,5,7.42
A Nehra,Delhi Capitals,Wankhede Stadium,49,24,3,12.25
A Nehra,Mumbai Indians,Dr DY Patil Sports Academy,58,54,6,6.44
A Nehra,Mumbai Indians,Eden Gardens,9,6,0,9.0
A Nehra,Mumbai Indians,Feroz Shah Kotla,30,23,1,7.83
A Nehra,Mumbai Indians,M Chinnaswamy Stadium,21,18,1,7.0
A Nehra,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",35,27,2,7.78
A Nehra,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",22,18,2,7.33
A Nehra,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",31,24,0,7.75
A Nehra,Mumbai Indians,Sawai Mansingh Stadium,22,19,1,6.95
A Nehra,Mumbai Indians,Wankhede Stadium,129,91,1,8.51
A Nehra,Pune Warriors,Barabati Stadium,44,25,1,10.56
A Nehra,Pune Warriors,Feroz Shah Kotla,27,24,0,6.75
A Nehra,Pune Warriors,M Chinnaswamy Stadium,54,25,1,12.96
A Nehra,Pune Warriors,"MA Chidambaram Stadium, Chepauk",24,24,2,6.0
A Nehra,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",22,18,0,7.33
A Nehra,Pune Warriors,Sawai Mansingh Stadium,23,24,3,5.75
A Nehra,Pune Warriors,Subrata Roy Sahara Stadium,217,151,5,8.62
A Nehra,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,44,42,8,6.29
A Nehra,Sunrisers Hyderabad,Eden Gardens,35,27,1,7.78
A Nehra,Sunrisers Hyderabad,M Chinnaswamy Stadium,21,14,0,9.0
A Nehra,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",77,41,3,11.27
A Nehra,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",175,145,8,7.24
A Nehra,Sunrisers Hyderabad,Wankhede Stadium,46,24,1,11.5
A Nel,Mumbai Indians,Feroz Shah Kotla,31,18,1,10.33
A Nortje,Delhi Capitals,"Arun Jaitley Stadium, Delhi",262,163,6,9.64
A Nortje,Delhi Capitals,"Barsapara Cricket Stadium, Guwahati",44,24,0,11.0
A Nortje,Delhi Capitals,"Brabourne Stadium, Mumbai",36,27,1,8.0
A Nortje,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",145,92,6,9.46
A Nortje,Delhi Capitals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",104,51,3,12.24
A Nortje,Delhi Capitals,Dubai International Cricket Stadium,369,280,17,7.91
A Nortje,Delhi Capitals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",37,24,3,9.25
A Nortje,Delhi Capitals,"M Chinnaswamy Stadium, Bengaluru",34,27,0,7.56
A Nortje,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",39,26,1,9.0
A Nortje,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",33,24,2,8.25
A Nortje,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",50,24,1,12.5
A Nortje,Delhi Capitals,Sharjah Cricket Stadium,174,138,10,7.57
A Nortje,Delhi Capitals,Sheikh Zayed Stadium,166,121,6,8.23
A Nortje,Delhi Capitals,"Wankhede Stadium, Mumbai",103,52,4,11.88
A Nortje,Delhi Capitals,"Zayed Cricket Stadium, Abu Dhabi",18,24,2,4.5
A Singh,Rajasthan Royals,De Beers Diamond Oval,25,18,1,8.33
A Singh,Rajasthan Royals,Eden Gardens,38,30,2,7.6
A Singh,Rajasthan Royals,Feroz Shah Kotla,42,25,2,10.08
A Singh,Rajasthan Royals,Kingsmead,33,45,4,4.4
A Singh,Rajasthan Royals,M Chinnaswamy Stadium,43,23,2,11.22
A Singh,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",45,25,0,10.8
A Singh,Rajasthan Royals,OUTsurance Oval,23,18,0,7.67
A Singh,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",35,24,3,8.75
A Singh,Rajasthan Royals,Sawai Mansingh Stadium,287,216,10,7.97
A Singh,Rajasthan Royals,SuperSport Park,19,26,4,4.38
A Singh,Rajasthan Royals,Wankhede Stadium,49,36,3,8.17
A Symonds,Mumbai Indians,Dr DY Patil Sports Academy,7,6,0,7.0
A Symonds,Mumbai Indians,Wankhede Stadium,34,18,1,11.33
A Symonds,Sunrisers Hyderabad,Barabati Stadium,45,49,4,5.51
A Symonds,Sunrisers Hyderabad,Brabourne Stadium,32,25,0,7.68
A Symonds,Sunrisers Hyderabad,De Beers Diamond Oval,51,31,0,9.87
A Symonds,Sunrisers Hyderabad,Dr DY Patil Sports Academy,110,94,1,7.02
A Symonds,Sunrisers Hyderabad,Eden Gardens,51,39,2,7.85
A Symonds,Sunrisers Hyderabad,Feroz Shah Kotla,8,12,0,4.0
A Symonds,Sunrisers Hyderabad,Himachal Pradesh Cricket Association Stadium,16,12,0,8.0
A Symonds,Sunrisers Hyderabad,Kingsmead,19,19,1,6.0
A Symonds,Sunrisers Hyderabad,M Chinnaswamy Stadium,34,19,1,10.74
A Symonds,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",29,18,2,9.67
A Symonds,Sunrisers Hyderabad,New Wanderers Stadium,57,55,6,6.22
A Symonds,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",82,29,0,16.97
A Symonds,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera",9,12,1,4.5
A Symonds,Sunrisers Hyderabad,SuperSport Park,35,42,2,5.0
A Symonds,Sunrisers Hyderabad,"Vidarbha Cricket Association Stadium, Jamtha",75,60,2,7.5
A Uniyal,Rajasthan Royals,Brabourne Stadium,41,26,3,9.46
A Uniyal,Rajasthan Royals,"Sardar Patel Stadium, Motera",26,12,0,13.0
A Zampa,Rajasthan Royals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",26,24,1,6.5
A Zampa,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",43,25,1,10.32
A Zampa,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",32,24,2,8.0
A Zampa,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",88,60,5,8.8
A Zampa,Rising Pune Supergiant,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,72,72,10,6.0
A Zampa,Rising Pune Supergiant,Eden Gardens,9,7,0,7.71
A Zampa,Rising Pune Supergiant,Feroz Shah Kotla,29,25,1,6.96
A Zampa,Rising Pune Supergiant,M Chinnaswamy Stadium,36,24,2,9.0
A Zampa,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,94,66,4,8.55
A Zampa,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",32,25,2,7.68
A Zampa,Rising Pune Supergiant,Wankhede Stadium,9,6,0,9.0
A Zampa,Royal Challengers Bangalore,Dubai International Cricket Stadium,53,24,1,13.25
A Zampa,Royal Challengers Bangalore,Sheikh Zayed Stadium,39,43,1,5.44
AA Chavan,Rajasthan Royals,Eden Gardens,60,41,1,8.78
AA Chavan,Rajasthan Royals,Feroz Shah Kotla,31,25,1,7.44
AA Chavan,Rajasthan Royals,Holkar Cricket Stadium,14,6,0,14.0
AA Chavan,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",33,18,0,11.0
AA Chavan,Rajasthan Royals,Sawai Mansingh Stadium,93,86,5,6.49
AA Chavan,Rajasthan Royals,Subrata Roy Sahara Stadium,22,13,0,10.15
AA Chavan,Rajasthan Royals,Wankhede Stadium,86,66,1,7.82
AA Jhunjhunwala,Pune Warriors,Dr DY Patil Sports Academy,11,7,0,9.43
AA Jhunjhunwala,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",11,6,0,11.0
AA Jhunjhunwala,Rajasthan Royals,Brabourne Stadium,27,12,0,13.5
AA Jhunjhunwala,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",18,12,0,9.0
AA Jhunjhunwala,Rajasthan Royals,"Sardar Patel Stadium, Motera",18,9,0,12.0
AA Jhunjhunwala,Rajasthan Royals,Sawai Mansingh Stadium,6,6,0,6.0
AA Jhunjhunwala,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",14,18,1,4.67
AA Jhunjhunwala,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",13,6,0,13.0
AA Jhunjhunwala,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",12,12,0,6.0
AA Kazi,Royal Challengers Bangalore,Sawai Mansingh Stadium,21,13,1,9.69
AA Noffke,Royal Challengers Bangalore,M Chinnaswamy Stadium,41,25,1,9.84
AB Agarkar,Delhi Capitals,Feroz Shah Kotla,278,188,5,8.87
AB Agarkar,Delhi Capitals,"MA Chidambaram Stadium, Chepauk",50,24,1,12.5
AB Agarkar,Delhi Capitals,Nehru Stadium,24,24,2,6.0
AB Agarkar,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",30,24,2,7.5
AB Agarkar,Delhi Capitals,Sawai Mansingh Stadium,22,12,0,11.0
AB Agarkar,Delhi Capitals,Wankhede Stadium,59,45,3,7.87
AB Agarkar,Kolkata Knight Riders,Buffalo Park,12,7,1,10.29
AB Agarkar,Kolkata Knight Riders,Eden Gardens,193,139,5,8.33
AB Agarkar,Kolkata Knight Riders,Feroz Shah Kotla,26,13,0,12.0
AB Agarkar,Kolkata Knight Riders,Kingsmead,64,58,4,6.62
AB Agarkar,Kolkata Knight Riders,M Chinnaswamy Stadium,55,46,3,7.17
AB Agarkar,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",34,31,1,6.58
AB Agarkar,Kolkata Knight Riders,New Wanderers Stadium,64,43,1,8.93
AB Agarkar,Kolkata Knight Riders,Newlands,31,14,0,13.29
AB Agarkar,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",59,43,2,8.23
AB Agarkar,Kolkata Knight Riders,Sawai Mansingh Stadium,46,24,1,11.5
AB Agarkar,Kolkata Knight Riders,St George's Park,30,24,1,7.5
AB Agarkar,Kolkata Knight Riders,SuperSport Park,92,53,1,10.42
AB Agarkar,Kolkata Knight Riders,Wankhede Stadium,5,8,0,3.75
AB Dinda,Delhi Capitals,Dr DY Patil Sports Academy,43,25,2,10.32
AB Dinda,Delhi Capitals,Feroz Shah Kotla,78,59,2,7.93
AB Dinda,Delhi Capitals,Sawai Mansingh Stadium,38,23,1,9.91
AB Dinda,Kolkata Knight Riders,Buffalo Park,28,19,1,8.84
AB Dinda,Kolkata Knight Riders,Eden Gardens,212,209,13,6.09
AB Dinda,Kolkata Knight Riders,Kingsmead,64,62,2,6.19
AB Dinda,Kolkata Knight Riders,M Chinnaswamy Stadium,24,39,4,3.69
AB Dinda,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",50,33,0,9.09
AB Dinda,Kolkata Knight Riders,Newlands,24,18,2,8.0
AB Dinda,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",44,33,1,8.0
AB Dinda,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",33,25,3,7.92
AB Dinda,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",28,24,2,7.0
AB Dinda,Kolkata Knight Riders,Sawai Mansingh Stadium,30,26,0,6.92
AB Dinda,Kolkata Knight Riders,St George's Park,50,27,0,11.11
AB Dinda,Kolkata Knight Riders,SuperSport Park,29,24,1,7.25
AB Dinda,Pune Warriors,Eden Gardens,28,13,0,12.92
AB Dinda,Pune Warriors,M Chinnaswamy Stadium,76,53,4,8.6
AB Dinda,Pune Warriors,"MA Chidambaram Stadium, Chepauk",34,24,2,8.5
AB Dinda,Pune Warriors,Maharashtra Cricket Association Stadium,25,26,2,5.77
AB Dinda,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",56,43,1,7.81
AB Dinda,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",29,25,2,6.96
AB Dinda,Pune Warriors,Shaheed Veer Narayan Singh International Stadium,31,24,3,7.75
AB Dinda,Pune Warriors,Subrata Roy Sahara Stadium,277,198,10,8.39
AB Dinda,Pune Warriors,Wankhede Stadium,81,52,4,9.35
AB Dinda,Rising Pune Supergiant,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,62,67,4,5.55
AB Dinda,Rising Pune Supergiant,Eden Gardens,13,6,0,13.0
AB Dinda,Rising Pune Supergiant,Feroz Shah Kotla,34,26,1,7.85
AB Dinda,Rising Pune Supergiant,Holkar Cricket Stadium,26,18,1,8.67
AB Dinda,Rising Pune Supergiant,M Chinnaswamy Stadium,26,21,0,7.43
AB Dinda,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,169,93,5,10.9
AB Dinda,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",27,26,4,6.23
AB Dinda,Royal Challengers Bangalore,Dubai International Cricket Stadium,33,42,2,4.71
AB Dinda,Royal Challengers Bangalore,Eden Gardens,38,27,1,8.44
AB Dinda,Royal Challengers Bangalore,M Chinnaswamy Stadium,115,63,1,10.95
AB Dinda,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",24,14,0,10.29
AB Dinda,Royal Challengers Bangalore,Sharjah Cricket Stadium,78,50,0,9.36
AB Dinda,Royal Challengers Bangalore,Sheikh Zayed Stadium,8,12,0,4.0
AB Dinda,Royal Challengers Bangalore,Wankhede Stadium,38,20,1,11.4
AB McDonald,Delhi Capitals,Brabourne Stadium,42,24,1,10.5
AB McDonald,Delhi Capitals,Feroz Shah Kotla,54,37,3,8.76
AB McDonald,Delhi Capitals,M Chinnaswamy Stadium,42,24,4,10.5
AB McDonald,Delhi Capitals,"MA Chidambaram Stadium, Chepauk",23,12,0,11.5
AB McDonald,Delhi Capitals,New Wanderers Stadium,22,18,0,7.33
AB McDonald,Royal Challengers Bangalore,M Chinnaswamy Stadium,53,48,4,6.62
AB McDonald,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",27,25,2,6.48
AC Gilchrist,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,0,1,1,0.0
AC Thomas,Pune Warriors,Dr DY Patil Sports Academy,186,124,5,9.0
AC Thomas,Pune Warriors,Feroz Shah Kotla,39,42,3,5.57
AC Thomas,Pune Warriors,M Chinnaswamy Stadium,23,24,2,5.75
AC Thomas,Pune Warriors,"MA Chidambaram Stadium, Chepauk",29,25,2,6.96
AC Thomas,Pune Warriors,Sawai Mansingh Stadium,28,25,1,6.72
AC Thomas,Pune Warriors,Subrata Roy Sahara Stadium,94,63,2,8.95
AC Thomas,Pune Warriors,Wankhede Stadium,17,24,1,4.25
AC Voges,Rajasthan Royals,Eden Gardens,16,7,0,13.71
AC Voges,Rajasthan Royals,Feroz Shah Kotla,9,7,0,7.71
AC Voges,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",12,12,0,6.0
AC Voges,Rajasthan Royals,"Sardar Patel Stadium, Motera",22,24,1,5.5
AC Voges,Rajasthan Royals,Sawai Mansingh Stadium,17,6,0,17.0
AD Mascarenhas,Kings XI Punjab,Eden Gardens,34,24,1,8.5
AD Mascarenhas,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",53,49,5,6.49
AD Mascarenhas,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",25,24,0,6.25
AD Mascarenhas,Kings XI Punjab,Subrata Roy Sahara Stadium,23,24,1,5.75
AD Mascarenhas,Rajasthan Royals,Brabourne Stadium,34,24,2,8.5
AD Mascarenhas,Rajasthan Royals,Newlands,79,72,4,6.58
AD Mascarenhas,Rajasthan Royals,"Sardar Patel Stadium, Motera",32,24,2,8.0
AD Mascarenhas,Rajasthan Royals,Sawai Mansingh Stadium,31,25,2,7.44
AD Mascarenhas,Rajasthan Royals,SuperSport Park,54,44,2,7.36
AD Mathews,Delhi Capitals,Brabourne Stadium,28,24,1,7.0
AD Mathews,Delhi Capitals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,38,24,1,9.5
AD Mathews,Delhi Capitals,Eden Gardens,15,12,0,7.5
AD Mathews,Delhi Capitals,Feroz Shah Kotla,128,94,3,8.17
AD Mathews,Delhi Capitals,Maharashtra Cricket Association Stadium,23,19,1,7.26
AD Mathews,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",41,19,0,12.95
AD Mathews,Delhi Capitals,Wankhede Stadium,33,24,1,8.25
AD Mathews,Kolkata Knight Riders,Brabourne Stadium,29,22,0,7.91
