batter,runs_scored,balls_faced,strike_rate
N Jagadeesan,162,155,104.52
N Pooran,1769,1143,154.77
N Rana,2636,2015,130.82
N Saini,140,143,97.9
N Wadhera,350,261,134.1
NK Patel,121,124,97.58
NLTC Perera,424,326,130.06
NV Ojha,1554,1360,114.26
Nithish Kumar Reddy,303,221,137.1
OA Shah,506,405,124.94
P Dogra,127,141,90.07
P Kumar,340,323,105.26
P Negi,365,301,121.26
P Simran Singh,756,528,143.18
PA Patel,2848,2442,116.63
PA Reddy,164,167,98.2
PBB Rajapaksa,277,201,137.81
PC Valthaty,505,432,116.9
PD Collingwood,203,159,127.67
PD Salt,653,385,169.61
PJ Cummins,515,359,143.45
PK Garg,273,247,110.53
PP Chawla,624,580,107.59
PP Shaw,1892,1321,143.22
Q de Kock,3160,2410,131.12
R Ashwin,800,698,114.61
R Bhatia,342,290,117.93
R Dhawan,210,188,111.7
R Dravid,2174,1918,113.35
R McLaren,159,178,89.33
R Parag,1173,909,129.04
R Powell,360,254,141.73
R Ravindra,222,146,152.05
R Sathish,270,236,114.41
R Tewatia,1013,788,128.55
R Vinay Kumar,310,289,107.27
RA Jadeja,2959,2378,124.43
RA Tripathi,2236,1650,135.52
RD Chahar,129,127,101.57
RD Gaikwad,2380,1781,133.63
RE van der Merwe,159,144,110.42
RG Sharma,6630,5183,127.92
RJ Harris,117,112,104.46
RJ Quiney,103,105,98.1
RK Singh,893,654,136.54
RM Patidar,799,534,149.63
RN ten Doeschate,326,238,136.97
RR Pant,3297,2296,143.6
RR Rossouw,473,321,147.35
RS Bopara,531,468,113.46
RT Ponting,91,129,70.54
RV Uthappa,4954,3927,126.15
Rahmanullah Gurbaz,289,228,126.75
Ramandeep Singh,170,106,160.38
Rashid Khan,545,355,153.52
S Anirudha,136,121,112.4
S Badrinath,1441,1245,115.74
S Dhawan,6769,5483,123.45
S Dube,1502,1077,139.46
S Gopal,180,173,104.05
S Sohal,368,311,118.33
S Vidyut,145,115,126.09
SA Asnodkar,423,352,120.17
SA Yadav,3594,2522,142.51
SB Styris,131,134,97.76
SC Ganguly,1349,1326,101.73
SD Hope,183,125,146.4
SE Marsh,2489,1913,130.11
SE Rutherford,106,107,99.07
SK Raina,5536,4177,132.54
SK Warne,198,219,90.41
SL Malinga,88,103,85.44
SM Curran,883,673,131.2
SM Katich,241,191,126.18
SM Pollock,147,116,126.72
SN Khan,585,456,128.29
SN Thakur,307,228,134.65
SO Hetmyer,1243,854,145.55
SP Fleming,196,171,114.62
SP Goswami,293,307,95.44
SP Narine,1534,984,155.89
SPD Smith,2495,1999,124.81
SR Tendulkar,2334,2044,114.19
SR Watson,3880,2892,134.16
SS Iyer,3131,2545,123.03
SS Prabhudessai,126,113,111.5
SS Tiwary,1494,1291,115.72
ST Jayasuriya,768,573,134.03
STR Binny,880,700,125.71
SV Samson,4419,3270,135.14
SW Billings,503,399,126.07
Sachin Baby,144,123,117.07
Salman Butt,193,172,112.21
Shahbaz Ahmed,536,467,114.78
Shakib Al Hasan,795,665,119.55
Shashank Singh,423,272,155.51
Shubman Gill,3216,2432,132.24
Sikandar Raza,182,143,127.27
T Stubbs,405,239,169.46
TG Southee,120,108,111.11
TH David,659,417,158.03
TK Curran,127,108,117.59
TL Suman,676,587,115.16
TM Dilshan,1153,1047,110.12
TM Head,772,458,168.56
Tilak Varma,1156,830,139.28
UBT Chand,300,314,95.54
UT Khawaja,127,105,120.95
UT Yadav,208,211,98.58
V Kohli,8014,6236,128.51
V Sehwag,2728,1833,148.83
V Shankar,1115,890,125.28
VR Iyer,1326,1000,132.6
VVS Laxman,282,271,104.06
W Jaffer,130,129,100.78
WG Jacks,230,133,172.93
WP Saha,2934,2368,123.9
Washington Sundar,378,341,110.85
Y Nagar,285,271,105.17
Y Venugopal Rao,985,865,113.87
YBK Jaiswal,1607,1095,146.76
YK Pathan,3222,2334,138.05
YV Takawale,192,183,104.92
Yuvraj Singh,2754,2207,124.78
Z Khan,117,141,82.98
